Number of Locomotive,Locomotive Battery Capacity,Locomotive per charger,Charger Type,Electricity Rate,Total energy [MWh],Total Charger Needed,Total Charging Time per locomotive [hrs],Station Utilization,Capital cost [$/kWh],O&M less energy [$/kWh],Energy [$/kWh],Total charging cost [$/kWh],Charging station capital investment,Annual O&M cost (w/energy cost)
68,10000,4,"3000kW, Pantograph",US,680,17,3.5,0.5833,0.0244,0.0086,0.1014,0.1344,28183876.78,22628387.4
68,10000,5,"3000kW, Pantograph",US,680,14,3.5,0.7292,0.0204,0.007,0.1014,0.1288,22647283.97,22323772.55
68,10000,6,"3000kW, Pantograph",US,680,12,3.5,0.875,0.0176,0.0059,0.1014,0.125,18812584.52,22116308.51
69,10000,1,"3000kW, Pantograph",US,690,69,3.5,0.1458,0.0844,0.0323,0.1014,0.2181,113216048,27606447.9
69,10000,2,"3000kW, Pantograph",US,690,35,3.5,0.2917,0.0444,0.0165,0.1014,0.1623,56858480.34,24510083.33
69,10000,3,"3000kW, Pantograph",US,690,23,3.5,0.4375,0.031,0.0112,0.1014,0.1436,37928986.89,23473574.33
69,10000,4,"3000kW, Pantograph",US,690,18,3.5,0.5833,0.0243,0.0085,0.1014,0.1342,28464240.17,22955319.83
69,10000,5,"3000kW, Pantograph",US,690,14,3.5,0.7292,0.0203,0.007,0.1014,0.1287,22871574.67,22646999.62
69,10000,6,"3000kW, Pantograph",US,690,12,3.5,0.875,0.0176,0.0059,0.1014,0.1249,18999493.45,22437065.33
70,10000,1,"3000kW, Pantograph",US,700,70,3.5,0.1458,0.0844,0.0322,0.1014,0.218,114768414.2,28002123.3
70,10000,2,"3000kW, Pantograph",US,700,35,3.5,0.2917,0.0443,0.0164,0.1014,0.1621,57419207.11,24855542.61
70,10000,3,"3000kW, Pantograph",US,700,24,3.5,0.4375,0.0309,0.0112,0.1014,0.1434,38302804.74,23806682.38
70,10000,4,"3000kW, Pantograph",US,700,18,3.5,0.5833,0.0242,0.0085,0.1014,0.1341,28744603.55,23282252.26
70,10000,5,"3000kW, Pantograph",US,700,14,3.5,0.7292,0.0202,0.0069,0.1014,0.1286,23095865.38,22970226.68
70,10000,6,"3000kW, Pantograph",US,700,12,3.5,0.875,0.0175,0.0059,0.1014,0.1248,19186402.37,22757822.15
71,10000,1,"3000kW, Pantograph",US,710,71,3.5,0.1458,0.0846,0.0323,0.1014,0.2183,116751693.2,28410961.13
71,10000,2,"3000kW, Pantograph",US,710,36,3.5,0.2917,0.0444,0.0164,0.1014,0.1622,58410846.57,25214164.32
71,10000,3,"3000kW, Pantograph",US,710,24,3.5,0.4375,0.031,0.0112,0.1014,0.1436,39107535.28,24152952.85
71,10000,4,"3000kW, Pantograph",US,710,18,3.5,0.5833,0.0244,0.0086,0.1014,0.1344,29455879.63,23622347.12
71,10000,5,"3000kW, Pantograph",US,710,15,3.5,0.7292,0.0204,0.007,0.1014,0.1288,23751068.79,23306616.17
71,10000,6,"3000kW, Pantograph",US,710,12,3.5,0.875,0.0177,0.0059,0.1014,0.1251,19804223.99,23091741.39
72,10000,1,"3000kW, Pantograph",US,720,72,3.5,0.1458,0.0845,0.0323,0.1014,0.2182,118304059.4,28806636.54
72,10000,2,"3000kW, Pantograph",US,720,36,3.5,0.2917,0.0445,0.0165,0.1014,0.1623,59402486.04,25572786.03
72,10000,3,"3000kW, Pantograph",US,720,24,3.5,0.4375,0.0309,0.0111,0.1014,0.1435,39481353.13,24486060.9
72,10000,4,"3000kW, Pantograph",US,720,18,3.5,0.5833,0.0243,0.0085,0.1014,0.1342,29736243.02,23949279.56
72,10000,5,"3000kW, Pantograph",US,720,15,3.5,0.7292,0.0204,0.007,0.1014,0.1288,23975359.49,23629843.23
72,10000,6,"3000kW, Pantograph",US,720,12,3.5,0.875,0.0177,0.0059,0.1014,0.125,19991132.91,23412498.21
73,10000,1,"3000kW, Pantograph",US,730,73,3.5,0.1458,0.0845,0.0322,0.1014,0.2181,119856425.6,29202311.94
73,10000,2,"3000kW, Pantograph",US,730,37,3.5,0.2917,0.0443,0.0164,0.1014,0.1621,59963212.81,25918245.31
73,10000,3,"3000kW, Pantograph",US,730,25,3.5,0.4375,0.0311,0.0112,0.1014,0.1437,40286083.67,24832331.38
73,10000,4,"3000kW, Pantograph",US,730,19,3.5,0.5833,0.0242,0.0085,0.1014,0.1341,30016606.4,24276211.99
73,10000,5,"3000kW, Pantograph",US,730,15,3.5,0.7292,0.0203,0.0069,0.1014,0.1287,24199650.2,23953070.3
73,10000,6,"3000kW, Pantograph",US,730,13,3.5,0.875,0.0176,0.0059,0.1014,0.1249,20178041.83,23733255.03
74,10000,1,"3000kW, Pantograph",US,740,74,3.5,0.1458,0.0844,0.0322,0.1014,0.218,121408791.9,29597987.35
74,10000,2,"3000kW, Pantograph",US,740,37,3.5,0.2917,0.0444,0.0164,0.1014,0.1622,60954852.27,26276867.02
74,10000,3,"3000kW, Pantograph",US,740,25,3.5,0.4375,0.031,0.0111,0.1014,0.1435,40659901.52,25165439.43
74,10000,4,"3000kW, Pantograph",US,740,19,3.5,0.5833,0.0244,0.0085,0.1014,0.1343,30727882.48,24616306.85
74,10000,5,"3000kW, Pantograph",US,740,15,3.5,0.7292,0.0202,0.0069,0.1014,0.1286,24423940.91,24276297.36
74,10000,6,"3000kW, Pantograph",US,740,13,3.5,0.875,0.0176,0.0059,0.1014,0.1248,20364950.76,24054011.84
75,10000,1,"3000kW, Pantograph",US,750,75,3.5,0.1458,0.0844,0.0322,0.1014,0.218,122961158.1,29993662.76
75,10000,2,"3000kW, Pantograph",US,750,38,3.5,0.2917,0.0442,0.0164,0.1014,0.162,61515579.04,26622326.3
75,10000,3,"3000kW, Pantograph",US,750,25,3.5,0.4375,0.0309,0.0111,0.1014,0.1434,41033719.36,25498547.48
75,10000,4,"3000kW, Pantograph",US,750,19,3.5,0.5833,0.0243,0.0085,0.1014,0.1342,31008245.87,24943239.28
75,10000,5,"3000kW, Pantograph",US,750,15,3.5,0.7292,0.0202,0.0069,0.1014,0.1285,24648231.62,24599524.43
75,10000,6,"3000kW, Pantograph",US,750,13,3.5,0.875,0.0175,0.0058,0.1014,0.1248,20551859.68,24374768.66
76,10000,1,"3000kW, Pantograph",US,760,76,3.5,0.1458,0.0846,0.0322,0.1014,0.2182,124944437,30402500.59
76,10000,2,"3000kW, Pantograph",US,760,38,3.5,0.2917,0.0443,0.0164,0.1014,0.1622,62507218.51,26980948.01
76,10000,3,"3000kW, Pantograph",US,760,26,3.5,0.4375,0.031,0.0111,0.1014,0.1436,41838449.9,25844817.96
76,10000,4,"3000kW, Pantograph",US,760,19,3.5,0.5833,0.0242,0.0085,0.1014,0.1341,31288609.25,25270171.72
76,10000,5,"3000kW, Pantograph",US,760,16,3.5,0.7292,0.0204,0.0069,0.1014,0.1287,25303435.02,24935913.91
76,10000,6,"3000kW, Pantograph",US,760,13,3.5,0.875,0.0177,0.0059,0.1014,0.125,21169681.3,24708687.9
77,10000,1,"3000kW, Pantograph",US,770,77,3.5,0.1458,0.0845,0.0322,0.1014,0.2181,126496803.3,30798175.99
77,10000,2,"3000kW, Pantograph",US,770,39,3.5,0.2917,0.0444,0.0164,0.1014,0.1623,63498857.98,27339569.71
77,10000,3,"3000kW, Pantograph",US,770,26,3.5,0.4375,0.0309,0.0111,0.1014,0.1434,42212267.75,26177926.01
77,10000,4,"3000kW, Pantograph",US,770,20,3.5,0.5833,0.0244,0.0085,0.1014,0.1343,31999885.34,25610266.58
77,10000,5,"3000kW, Pantograph",US,770,16,3.5,0.7292,0.0203,0.0069,0.1014,0.1286,25527725.73,25259140.98
77,10000,6,"3000kW, Pantograph",US,770,13,3.5,0.875,0.0177,0.0059,0.1014,0.1249,21356590.22,25029444.72
78,10000,1,"3000kW, Pantograph",US,780,78,3.5,0.1458,0.0845,0.0322,0.1014,0.2181,128049169.5,31193851.4
78,10000,2,"3000kW, Pantograph",US,780,39,3.5,0.2917,0.0443,0.0164,0.1014,0.1621,64059584.75,27685029
78,10000,3,"3000kW, Pantograph",US,780,26,3.5,0.4375,0.0311,0.0111,0.1014,0.1436,43016998.29,26524196.48
78,10000,4,"3000kW, Pantograph",US,780,20,3.5,0.5833,0.0243,0.0085,0.1014,0.1342,32280248.72,25937199.01
78,10000,5,"3000kW, Pantograph",US,780,16,3.5,0.7292,0.0202,0.0069,0.1014,0.1286,25752016.44,25582368.04
78,10000,6,"3000kW, Pantograph",US,780,13,3.5,0.875,0.0176,0.0058,0.1014,0.1249,21543499.15,25350201.54
79,10000,1,"3000kW, Pantograph",US,790,79,3.5,0.1458,0.0844,0.0322,0.1014,0.218,129601535.7,31589526.8
79,10000,2,"3000kW, Pantograph",US,790,40,3.5,0.2917,0.0444,0.0164,0.1014,0.1622,65051224.21,28043650.71
79,10000,3,"3000kW, Pantograph",US,790,27,3.5,0.4375,0.031,0.0111,0.1014,0.1435,43390816.14,26857304.53
79,10000,4,"3000kW, Pantograph",US,790,20,3.5,0.5833,0.0243,0.0085,0.1014,0.1341,32560612.11,26264131.44
79,10000,5,"3000kW, Pantograph",US,790,16,3.5,0.7292,0.0202,0.0069,0.1014,0.1285,25976307.15,25905595.11
79,10000,6,"3000kW, Pantograph",US,790,14,3.5,0.875,0.0176,0.0058,0.1014,0.1248,21730408.07,25670958.36
80,10000,1,"3000kW, Pantograph",US,800,80,3.5,0.1458,0.0844,0.0322,0.1014,0.2179,131153902,31985202.21
80,10000,2,"3000kW, Pantograph",US,800,40,3.5,0.2917,0.0442,0.0163,0.1014,0.162,65611950.98,28389109.99
80,10000,3,"3000kW, Pantograph",US,800,27,3.5,0.4375,0.0309,0.0111,0.1014,0.1434,43764633.99,27190412.58
80,10000,4,"3000kW, Pantograph",US,800,20,3.5,0.5833,0.0242,0.0084,0.1014,0.134,32840975.49,26591063.88
80,10000,5,"3000kW, Pantograph",US,800,16,3.5,0.7292,0.0204,0.0069,0.1014,0.1287,26631510.55,26241984.6
80,10000,6,"3000kW, Pantograph",US,800,14,3.5,0.875,0.0175,0.0058,0.1014,0.1247,21917316.99,25991715.18
81,10000,1,"3000kW, Pantograph",US,810,81,3.5,0.1458,0.0845,0.0322,0.1014,0.2182,133137180.9,32394040.04
81,10000,2,"3000kW, Pantograph",US,810,41,3.5,0.2917,0.0443,0.0164,0.1014,0.1621,66603590.45,28747731.7
81,10000,3,"3000kW, Pantograph",US,810,27,3.5,0.4375,0.031,0.0111,0.1014,0.1435,44569364.53,27536683.06
81,10000,4,"3000kW, Pantograph",US,810,21,3.5,0.5833,0.0244,0.0085,0.1014,0.1342,33552251.57,26931158.74
81,10000,5,"3000kW, Pantograph",US,810,17,3.5,0.7292,0.0203,0.0069,0.1014,0.1286,26855801.26,26565211.66
81,10000,6,"3000kW, Pantograph",US,810,14,3.5,0.875,0.0177,0.0058,0.1014,0.125,22535138.61,26325634.42
82,10000,1,"3000kW, Pantograph",US,820,82,3.5,0.1458,0.0845,0.0322,0.1014,0.2181,134689547.1,32789715.45
82,10000,2,"3000kW, Pantograph",US,820,41,3.5,0.2917,0.0444,0.0164,0.1014,0.1622,67595229.91,29106353.4
82,10000,3,"3000kW, Pantograph",US,820,28,3.5,0.4375,0.0309,0.0111,0.1014,0.1434,44943182.38,27869791.11
82,10000,4,"3000kW, Pantograph",US,820,21,3.5,0.5833,0.0243,0.0084,0.1014,0.1341,33832614.96,27258091.17
82,10000,5,"3000kW, Pantograph",US,820,17,3.5,0.7292,0.0203,0.0069,0.1014,0.1285,27080091.96,26888438.72
82,10000,6,"3000kW, Pantograph",US,820,14,3.5,0.875,0.0176,0.0058,0.1014,0.1249,22722047.54,26646391.24
83,10000,1,"3000kW, Pantograph",US,830,83,3.5,0.1458,0.0844,0.0322,0.1014,0.218,136241913.4,33185390.85
83,10000,2,"3000kW, Pantograph",US,830,42,3.5,0.2917,0.0443,0.0163,0.1014,0.162,68155956.68,29451812.69
83,10000,3,"3000kW, Pantograph",US,830,28,3.5,0.4375,0.0311,0.0111,0.1014,0.1436,45747912.92,28216061.58
83,10000,4,"3000kW, Pantograph",US,830,21,3.5,0.5833,0.0242,0.0084,0.1014,0.134,34112978.34,27585023.61
83,10000,5,"3000kW, Pantograph",US,830,17,3.5,0.7292,0.0202,0.0068,0.1014,0.1285,27304382.67,27211665.79
83,10000,6,"3000kW, Pantograph",US,830,14,3.5,0.875,0.0176,0.0058,0.1014,0.1248,22908956.46,26967148.05
84,10000,1,"3000kW, Pantograph",US,840,84,3.5,0.1458,0.0844,0.0321,0.1014,0.218,137794279.6,33581066.26
84,10000,2,"3000kW, Pantograph",US,840,42,3.5,0.2917,0.0444,0.0164,0.1014,0.1621,69147596.15,29810434.39
84,10000,3,"3000kW, Pantograph",US,840,28,3.5,0.4375,0.031,0.0111,0.1014,0.1434,46121730.76,28549169.63
84,10000,4,"3000kW, Pantograph",US,840,21,3.5,0.5833,0.0244,0.0085,0.1014,0.1342,34824254.42,27925118.46
84,10000,5,"3000kW, Pantograph",US,840,17,3.5,0.7292,0.0204,0.0069,0.1014,0.1287,27959586.08,27548055.28
84,10000,6,"3000kW, Pantograph",US,840,14,3.5,0.875,0.0175,0.0058,0.1014,0.1248,23095865.38,27287904.87
85,10000,1,"3000kW, Pantograph",US,850,85,3.5,0.1458,0.0843,0.0321,0.1014,0.2179,139346645.8,33976741.66
85,10000,2,"3000kW, Pantograph",US,850,43,3.5,0.2917,0.0442,0.0163,0.1014,0.162,69708322.92,30155893.68
85,10000,3,"3000kW, Pantograph",US,850,29,3.5,0.4375,0.0309,0.011,0.1014,0.1433,46495548.61,28882277.68
85,10000,4,"3000kW, Pantograph",US,850,22,3.5,0.5833,0.0243,0.0084,0.1014,0.1341,35104617.81,28252050.9
85,10000,5,"3000kW, Pantograph",US,850,17,3.5,0.7292,0.0203,0.0069,0.1014,0.1286,28183876.78,27871282.34
85,10000,6,"3000kW, Pantograph",US,850,15,3.5,0.875,0.0175,0.0058,0.1014,0.1247,23282774.31,27608661.69
86,10000,1,"3000kW, Pantograph",US,860,86,3.5,0.1458,0.0845,0.0322,0.1014,0.2181,141329924.8,34385579.49
86,10000,2,"3000kW, Pantograph",US,860,43,3.5,0.2917,0.0443,0.0163,0.1014,0.1621,70699962.38,30514515.39
86,10000,3,"3000kW, Pantograph",US,860,29,3.5,0.4375,0.031,0.0111,0.1014,0.1435,47300279.15,29228548.16
86,10000,4,"3000kW, Pantograph",US,860,22,3.5,0.5833,0.0242,0.0084,0.1014,0.1341,35384981.19,28578983.33
86,10000,5,"3000kW, Pantograph",US,860,18,3.5,0.7292,0.0203,0.0068,0.1014,0.1285,28408167.49,28194509.41
86,10000,6,"3000kW, Pantograph",US,860,15,3.5,0.875,0.0177,0.0058,0.1014,0.1249,23900595.92,27942580.93
87,10000,1,"3000kW, Pantograph",US,870,87,3.5,0.1458,0.0845,0.0322,0.1014,0.218,142882291,34781254.9
87,10000,2,"3000kW, Pantograph",US,870,44,3.5,0.2917,0.0444,0.0163,0.1014,0.1622,71691601.85,30873137.09
87,10000,3,"3000kW, Pantograph",US,870,29,3.5,0.4375,0.0309,0.011,0.1014,0.1434,47674097,29561656.21
87,10000,4,"3000kW, Pantograph",US,870,22,3.5,0.5833,0.0244,0.0084,0.1014,0.1342,36096257.27,28919078.19
87,10000,5,"3000kW, Pantograph",US,870,18,3.5,0.7292,0.0202,0.0068,0.1014,0.1284,28632458.2,28517736.47
87,10000,6,"3000kW, Pantograph",US,870,15,3.5,0.875,0.0176,0.0058,0.1014,0.1248,24087504.85,28263337.75
88,10000,1,"3000kW, Pantograph",US,880,88,3.5,0.1458,0.0844,0.0321,0.1014,0.218,144434657.2,35176930.3
88,10000,2,"3000kW, Pantograph",US,880,44,3.5,0.2917,0.0443,0.0163,0.1014,0.162,72252328.62,31218596.38
88,10000,3,"3000kW, Pantograph",US,880,30,3.5,0.4375,0.031,0.0111,0.1014,0.1435,48478827.54,29907926.68
88,10000,4,"3000kW, Pantograph",US,880,22,3.5,0.5833,0.0243,0.0084,0.1014,0.1342,36376620.66,29246010.63
88,10000,5,"3000kW, Pantograph",US,880,18,3.5,0.7292,0.0204,0.0069,0.1014,0.1286,29287661.6,28854125.96
88,10000,6,"3000kW, Pantograph",US,880,15,3.5,0.875,0.0176,0.0058,0.1014,0.1248,24274413.77,28584094.57
89,10000,1,"3000kW, Pantograph",US,890,89,3.5,0.1458,0.0844,0.0321,0.1014,0.2179,145987023.5,35572605.71
89,10000,2,"3000kW, Pantograph",US,890,45,3.5,0.2917,0.0444,0.0163,0.1014,0.1621,73243968.08,31577218.08
89,10000,3,"3000kW, Pantograph",US,890,30,3.5,0.4375,0.031,0.011,0.1014,0.1434,48852645.39,30241034.73
89,10000,4,"3000kW, Pantograph",US,890,23,3.5,0.5833,0.0242,0.0084,0.1014,0.1341,36656984.04,29572943.06
89,10000,5,"3000kW, Pantograph",US,890,18,3.5,0.7292,0.0203,0.0068,0.1014,0.1286,29511952.31,29177353.02
89,10000,6,"3000kW, Pantograph",US,890,15,3.5,0.875,0.0175,0.0058,0.1014,0.1247,24461322.69,28904851.38
90,10000,1,"3000kW, Pantograph",US,900,90,3.5,0.1458,0.0843,0.0321,0.1014,0.2179,147539389.7,35968281.12
90,10000,2,"3000kW, Pantograph",US,900,45,3.5,0.2917,0.0442,0.0163,0.1014,0.1619,73804694.85,31922677.37
90,10000,3,"3000kW, Pantograph",US,900,30,3.5,0.4375,0.0309,0.011,0.1014,0.1433,49226463.24,30574142.78
90,10000,4,"3000kW, Pantograph",US,900,23,3.5,0.5833,0.0242,0.0084,0.1014,0.134,36937347.43,29899875.49
90,10000,5,"3000kW, Pantograph",US,900,18,3.5,0.7292,0.0203,0.0068,0.1014,0.1285,29736243.02,29500580.09
90,10000,6,"3000kW, Pantograph",US,900,15,3.5,0.875,0.0175,0.0057,0.1014,0.1247,24648231.62,29225608.2
91,10000,1,"3000kW, Pantograph",US,910,91,3.5,0.1458,0.0845,0.0321,0.1014,0.2181,149522668.6,36377118.95
91,10000,2,"3000kW, Pantograph",US,910,46,3.5,0.2917,0.0443,0.0163,0.1014,0.162,74796334.32,32281299.08
91,10000,3,"3000kW, Pantograph",US,910,31,3.5,0.4375,0.031,0.011,0.1014,0.1435,50031193.78,30920413.26
91,10000,4,"3000kW, Pantograph",US,910,23,3.5,0.5833,0.0243,0.0084,0.1014,0.1342,37648623.51,30239970.35
91,10000,5,"3000kW, Pantograph",US,910,19,3.5,0.7292,0.0202,0.0068,0.1014,0.1284,29960533.73,29823807.15
91,10000,6,"3000kW, Pantograph",US,910,16,3.5,0.875,0.0177,0.0058,0.1014,0.1249,25266053.24,29559527.44
92,10000,1,"3000kW, Pantograph",US,920,92,3.5,0.1458,0.0845,0.0321,0.1014,0.218,151075034.9,36772794.35
92,10000,2,"3000kW, Pantograph",US,920,46,3.5,0.2917,0.0444,0.0163,0.1014,0.1621,75787973.78,32639920.78
92,10000,3,"3000kW, Pantograph",US,920,31,3.5,0.4375,0.0309,0.011,0.1014,0.1433,50405011.62,31253521.31
92,10000,4,"3000kW, Pantograph",US,920,23,3.5,0.5833,0.0243,0.0084,0.1014,0.1341,37928986.89,30566902.79
92,10000,5,"3000kW, Pantograph",US,920,19,3.5,0.7292,0.0204,0.0068,0.1014,0.1286,30615737.13,30160196.64
92,10000,6,"3000kW, Pantograph",US,920,16,3.5,0.875,0.0176,0.0058,0.1014,0.1248,25452962.16,29880284.26
93,10000,1,"3000kW, Pantograph",US,930,93,3.5,0.1458,0.0844,0.0321,0.1014,0.218,152627401.1,37168469.76
93,10000,2,"3000kW, Pantograph",US,930,47,3.5,0.2917,0.0443,0.0163,0.1014,0.162,76348700.55,32985380.07
93,10000,3,"3000kW, Pantograph",US,930,31,3.5,0.4375,0.031,0.011,0.1014,0.1435,51209742.17,31599791.79
93,10000,4,"3000kW, Pantograph",US,930,24,3.5,0.5833,0.0242,0.0084,0.1014,0.134,38209350.28,30893835.22
93,10000,5,"3000kW, Pantograph",US,930,19,3.5,0.7292,0.0203,0.0068,0.1014,0.1285,30840027.84,30483423.71
93,10000,6,"3000kW, Pantograph",US,930,16,3.5,0.875,0.0176,0.0057,0.1014,0.1247,25639871.08,30201041.08
94,10000,1,"3000kW, Pantograph",US,940,94,3.5,0.1458,0.0844,0.0321,0.1014,0.2179,154179767.3,37564145.16
94,10000,2,"3000kW, Pantograph",US,940,47,3.5,0.2917,0.0444,0.0163,0.1014,0.1621,77340340.02,33344001.77
94,10000,3,"3000kW, Pantograph",US,940,32,3.5,0.4375,0.0309,0.011,0.1014,0.1434,51583560.01,31932899.84
94,10000,4,"3000kW, Pantograph",US,940,24,3.5,0.5833,0.0243,0.0084,0.1014,0.1342,38920626.36,31233930.08
94,10000,5,"3000kW, Pantograph",US,940,19,3.5,0.7292,0.0203,0.0068,0.1014,0.1285,31064318.55,30806650.77
94,10000,6,"3000kW, Pantograph",US,940,16,3.5,0.875,0.0175,0.0057,0.1014,0.1247,25826780.01,30521797.9
95,10000,1,"3000kW, Pantograph",US,950,95,3.5,0.1458,0.0843,0.0321,0.1014,0.2178,155732133.6,37959820.57
95,10000,2,"3000kW, Pantograph",US,950,48,3.5,0.2917,0.0442,0.0163,0.1014,0.1619,77901066.79,33689461.06
95,10000,3,"3000kW, Pantograph",US,950,32,3.5,0.4375,0.0309,0.011,0.1014,0.1433,51957377.86,32266007.89
95,10000,4,"3000kW, Pantograph",US,950,24,3.5,0.5833,0.0243,0.0084,0.1014,0.1341,39200989.74,31560862.51
95,10000,5,"3000kW, Pantograph",US,950,19,3.5,0.7292,0.0202,0.0068,0.1014,0.1284,31288609.25,31129877.83
95,10000,6,"3000kW, Pantograph",US,950,16,3.5,0.875,0.0175,0.0057,0.1014,0.1246,26013688.93,30842554.72
96,10000,1,"3000kW, Pantograph",US,960,96,3.5,0.1458,0.0845,0.0321,0.1014,0.218,157715412.5,38368658.4
96,10000,2,"3000kW, Pantograph",US,960,48,3.5,0.2917,0.0443,0.0163,0.1014,0.162,78892706.25,34048082.76
96,10000,3,"3000kW, Pantograph",US,960,32,3.5,0.4375,0.031,0.011,0.1014,0.1434,52762108.4,32612278.36
96,10000,4,"3000kW, Pantograph",US,960,24,3.5,0.5833,0.0242,0.0084,0.1014,0.134,39481353.13,31887794.95
96,10000,5,"3000kW, Pantograph",US,960,20,3.5,0.7292,0.0204,0.0068,0.1014,0.1286,31943812.66,31466267.32
96,10000,6,"3000kW, Pantograph",US,960,16,3.5,0.875,0.0177,0.0058,0.1014,0.1248,26631510.55,31176473.96
97,10000,1,"3000kW, Pantograph",US,970,97,3.5,0.1458,0.0845,0.0321,0.1014,0.218,159267778.8,38764333.8
97,10000,2,"3000kW, Pantograph",US,970,49,3.5,0.2917,0.0444,0.0163,0.1014,0.1621,79884345.72,34406704.47
97,10000,3,"3000kW, Pantograph",US,970,33,3.5,0.4375,0.0309,0.011,0.1014,0.1433,53135926.25,32945386.41
97,10000,4,"3000kW, Pantograph",US,970,25,3.5,0.5833,0.0244,0.0084,0.1014,0.1342,40192629.21,32227889.81
97,10000,5,"3000kW, Pantograph",US,970,20,3.5,0.7292,0.0203,0.0068,0.1014,0.1285,32168103.37,31789494.39
97,10000,6,"3000kW, Pantograph",US,970,17,3.5,0.875,0.0176,0.0057,0.1014,0.1248,26818419.47,31497230.78
98,10000,1,"3000kW, Pantograph",US,980,98,3.5,0.1458,0.0844,0.0321,0.1014,0.2179,160820145,39160009.21
98,10000,2,"3000kW, Pantograph",US,980,49,3.5,0.2917,0.0443,0.0163,0.1014,0.1619,80445072.49,34752163.76
98,10000,3,"3000kW, Pantograph",US,980,33,3.5,0.4375,0.031,0.011,0.1014,0.1435,53940656.79,33291656.89
98,10000,4,"3000kW, Pantograph",US,980,25,3.5,0.5833,0.0243,0.0084,0.1014,0.1341,40472992.59,32554822.24
98,10000,5,"3000kW, Pantograph",US,980,20,3.5,0.7292,0.0203,0.0068,0.1014,0.1285,32392394.07,32112721.45
98,10000,6,"3000kW, Pantograph",US,980,17,3.5,0.875,0.0176,0.0057,0.1014,0.1247,27005328.4,31817987.59
99,10000,1,"3000kW, Pantograph",US,990,99,3.5,0.1458,0.0844,0.0321,0.1014,0.2179,162372511.2,39555684.62
99,10000,2,"3000kW, Pantograph",US,990,50,3.5,0.2917,0.0443,0.0163,0.1014,0.162,81436711.96,35110785.46
99,10000,3,"3000kW, Pantograph",US,990,33,3.5,0.4375,0.0309,0.011,0.1014,0.1433,54314474.64,33624764.94
99,10000,4,"3000kW, Pantograph",US,990,25,3.5,0.5833,0.0242,0.0084,0.1014,0.134,40753355.98,32881754.67
99,10000,5,"3000kW, Pantograph",US,990,20,3.5,0.7292,0.0202,0.0068,0.1014,0.1284,32616684.78,32435948.52
99,10000,6,"3000kW, Pantograph",US,990,17,3.5,0.875,0.0175,0.0057,0.1014,0.1247,27192237.32,32138744.41
100,10000,1,"3000kW, Pantograph",US,1000,100,3.5,0.1458,0.0843,0.0321,0.1014,0.2178,163924877.5,39951360.02
100,10000,2,"3000kW, Pantograph",US,1000,50,3.5,0.2917,0.0442,0.0162,0.1014,0.1619,81997438.73,35456244.75
100,10000,3,"3000kW, Pantograph",US,1000,34,3.5,0.4375,0.0309,0.011,0.1014,0.1432,54688292.48,33957872.99
100,10000,4,"3000kW, Pantograph",US,1000,25,3.5,0.5833,0.0242,0.0083,0.1014,0.1339,41033719.36,33208687.11
100,10000,5,"3000kW, Pantograph",US,1000,20,3.5,0.7292,0.0202,0.0068,0.1014,0.1283,32840975.49,32759175.58
100,10000,6,"3000kW, Pantograph",US,1000,17,3.5,0.875,0.0175,0.0057,0.1014,0.1246,27379146.24,32459501.23