Dispenser Type,Operation Hours,Fleet Size,Number of Dispenser,Production Volume,Market Demand (kg/day),HDV Station Capacity [kg/day],Liquefier Size (kg), Total Levelized Cost of Refueling [$/kg] , Liquefier [$/kg] , Terminal [$/kg] , Liquid Refueling Station [$/kg] , Production [$/kg] , Total Capital Investment , Standard O&M (less energy cost) , LRS Capital Investment , Liquefier Capital Investment , Terminal Capital Investment 
350 via pump,6,2,1,High,8000,8000,8883.101529,6.57,2.90,0.32,1.36,2.00,69724946.00,3683203.00,18234890.00,40973098.00,10516958.00
350 via pump,6,5,1,High,20000,20000,21972.75125,5.46,2.41,0.17,0.87,2.00,132827988.00,6048942.00,32213760.00,84507130.00,16107097.00
350 via pump,6,10,2,High,40000,40000,43898.10764,5.10,2.13,0.12,0.85,2.00,236244082.00,10171816.00,63811456.00,146950904.00,25481722.00
350 via pump,6,20,3,High,80000,80000,87650.69191,4.78,1.89,0.10,0.79,2.00,429099477.00,17415439.00,123366891.00,255429928.00,50302659.00
350 via pump,6,50,6,High,200000,200000,218886.5647,4.60,1.81,0.08,0.71,2.00,1005120562.00,38751015.00,282418867.00,610106139.00,112595557.00
350 via pump,6,100,12,High,400000,400000,437736.7237,4.51,1.72,0.07,0.71,2.00,1941390799.00,73780167.00,564221669.00,1151768862.00,225400268.00
350 via pump,6,150,18,High,600000,600000,656586.8828,4.47,1.69,0.07,0.71,2.00,2865573901.00,108333472.00,845951283.00,1687312231.00,332310387.00
350 via pump,6,200,24,High,800000,800000,875437.0419,4.45,1.67,0.07,0.71,2.00,3794790332.00,142959724.00,1127754085.00,2220814735.00,446221513.00
350 via pump,12,10,1,High,40000,40000,43788.99566,4.93,2.13,0.12,0.69,2.00,225971603.00,9464843.00,53877349.00,146658818.00,25435436.00
350 via pump,12,20,2,High,80000,80000,87541.58157,4.66,1.89,0.10,0.67,2.00,412570599.00,16526557.00,107138634.00,255175669.00,50256296.00
350 via pump,12,50,3,High,200000,200000,218559.2693,4.50,1.81,0.08,0.61,2.00,972473586.00,36578528.00,250640477.00,609376611.00,112456498.00
350 via pump,12,100,6,High,400000,400000,437082.135,4.40,1.72,0.07,0.61,2.00,1876177468.00,69331108.00,500664889.00,1150391493.00,225121086.00
350 via pump,12,150,9,High,600000,600000,655605.0008,4.36,1.69,0.07,0.61,2.00,2767801387.00,101688857.00,750616113.00,1685294342.00,331890932.00
350 via pump,12,200,12,High,800000,800000,874127.8665,4.35,1.67,0.07,0.61,2.00,3664459972.00,134065172.00,1000640525.00,2218158767.00,445660680.00
350 via pump,20,20,1,High,80000,80000,87432.47123,4.57,1.89,0.10,0.59,2.00,401018427.00,15782646.00,95887147.00,254921346.00,50209934.00
350 via pump,20,50,2,High,200000,200000,218450.1709,4.45,1.81,0.08,0.57,2.00,957858633.00,35745634.00,236315102.00,609133386.00,112410145.00
350 via pump,20,100,4,High,400000,400000,436863.9388,4.36,1.72,0.07,0.57,2.00,1846974443.00,67666312.00,472014140.00,1149932278.00,225028025.00
350 via pump,20,150,6,High,600000,600000,655277.7068,4.32,1.69,0.07,0.57,2.00,2724012681.00,99111489.00,707639989.00,1684621578.00,331751113.00
350 via pump,20,200,8,High,800000,800000,873691.4747,4.30,1.67,0.07,0.57,2.00,3606086030.00,130665394.00,943339027.00,2217273268.00,445473735.00
700 via pump,6,2,1,High,8000,8000,8883.101529,7.22,2.90,0.32,2.01,2.00,79064169.00,4070694.00,27574113.00,40973098.00,10516958.00
700 via pump,6,5,1,High,20000,20000,21972.75125,5.93,2.41,0.17,1.35,2.00,151445691.00,6706715.00,50831464.00,84507130.00,16107097.00
700 via pump,6,10,2,High,40000,40000,43898.10764,5.58,2.13,0.12,1.32,2.00,273479488.00,11487363.00,101046863.00,146950904.00,25481722.00
700 via pump,6,20,3,High,80000,80000,87650.69191,5.24,1.89,0.10,1.25,2.00,503509549.00,19929325.00,197776962.00,255429928.00,50302659.00
700 via pump,6,50,6,High,200000,200000,218886.5647,5.03,1.81,0.08,1.14,2.00,1177949058.00,44478153.00,455247362.00,610106139.00,112595557.00
700 via pump,6,100,12,High,400000,400000,437736.7237,4.94,1.72,0.07,1.14,2.00,2287047789.00,85234443.00,909878659.00,1151768862.00,225400268.00
700 via pump,6,150,18,High,600000,600000,656586.8828,4.90,1.69,0.07,1.14,2.00,3384132574.00,125517018.00,1364509957.00,1687312231.00,332310387.00
700 via pump,6,200,24,High,800000,800000,875437.0419,4.88,1.67,0.07,1.14,2.00,4486177502.00,165870409.00,1819141254.00,2220814735.00,446221513.00
700 via pump,12,10,1,High,40000,40000,43788.99566,5.34,2.13,0.12,1.09,2.00,258951810.00,10540998.00,86857555.00,146658818.00,25435436.00
700 via pump,12,20,2,High,80000,80000,87541.58157,5.07,1.89,0.10,1.08,2.00,478531011.00,18678866.00,173099046.00,255175669.00,50256296.00
700 via pump,12,50,3,High,200000,200000,218559.2693,4.88,1.81,0.08,1.00,2.00,1131092351.00,41545421.00,409259242.00,609376611.00,112456498.00
700 via pump,12,100,6,High,400000,400000,437082.135,4.79,1.72,0.07,0.99,2.00,2193414999.00,79264893.00,817902420.00,1150391493.00,225121086.00
700 via pump,12,150,9,High,600000,600000,655605.0008,4.75,1.69,0.07,0.99,2.00,3243730872.00,116591667.00,1226545597.00,1685294342.00,331890932.00
700 via pump,12,200,12,High,800000,800000,874127.8665,4.73,1.67,0.07,0.99,2.00,4299008222.00,153934874.00,1635188775.00,2218158767.00,445660680.00
700 via pump,20,20,1,High,80000,80000,87432.47123,4.94,1.89,0.10,0.96,2.00,461760887.00,17667518.00,156629607.00,254921346.00,50209934.00
700 via pump,20,50,2,High,200000,200000,218450.1709,4.82,1.81,0.08,0.93,2.00,1109317043.00,40388507.00,387773512.00,609133386.00,112410145.00
700 via pump,20,100,4,High,400000,400000,436863.9388,4.72,1.72,0.07,0.93,2.00,2149891262.00,76952057.00,774930958.00,1149932278.00,225028025.00
700 via pump,20,150,6,High,600000,600000,655277.7068,4.69,1.69,0.07,0.93,2.00,3178347090.00,113038918.00,1161974399.00,1684621578.00,331751113.00
700 via pump,20,200,8,High,800000,800000,873691.4747,4.67,1.67,0.07,0.93,2.00,4211878848.00,149235695.00,1549131845.00,2217273268.00,445473735.00
Cryo-pump,6,2,1,High,8000,8000,8778.236678,5.30,2.87,0.31,0.11,2.00,51465620.00,2761918.00,407625.00,40586040.00,10471954.00
Cryo-pump,6,5,1,High,20000,20000,21867.97441,4.63,2.40,0.17,0.05,2.00,100654954.00,4723606.00,407625.00,84184843.00,16062486.00
Cryo-pump,6,10,2,High,40000,40000,43684.24816,4.28,2.12,0.12,0.03,2.00,172598444.00,7532385.00,829164.00,146378279.00,25391001.00
Cryo-pump,6,20,3,High,80000,80000,87327.72531,4.01,1.88,0.10,0.02,2.00,305750632.00,12639873.00,908070.00,254677136.00,50165426.00
Cryo-pump,6,50,6,High,200000,200000,218236.3379,3.90,1.81,0.08,0.01,2.00,722106519.00,28132518.00,1130631.00,608656595.00,112319293.00
Cryo-pump,6,100,12,High,400000,400000,436431.9103,3.80,1.72,0.07,0.01,2.00,1375419451.00,52534662.00,1552790.00,1149022898.00,224843763.00
Cryo-pump,6,150,18,High,600000,600000,654627.4826,3.76,1.69,0.07,0.01,2.00,2016721355.00,76462994.00,1963196.00,1683284820.00,331473339.00
Cryo-pump,6,200,24,High,800000,800000,872827.419,3.75,1.67,0.07,0.01,2.00,2663128872.00,100478425.00,2505573.00,2215519717.00,445103582.00
Cryo-pump,12,10,1,High,40000,40000,43684.24816,4.27,2.12,0.12,0.03,2.00,172176905.00,7510199.00,407625.00,146378279.00,25391001.00
Cryo-pump,12,20,2,High,80000,80000,87327.72531,4.00,1.88,0.10,0.02,2.00,305671726.00,12627822.00,829164.00,254677136.00,50165426.00
Cryo-pump,12,50,3,High,200000,200000,218236.3379,3.89,1.81,0.08,0.01,2.00,721883958.00,28097124.00,908070.00,608656595.00,112319293.00
Cryo-pump,12,100,6,High,400000,400000,436431.9103,3.80,1.72,0.07,0.01,2.00,1374997291.00,52358039.00,1130631.00,1149022898.00,224843763.00
Cryo-pump,12,150,9,High,600000,600000,654627.4826,3.76,1.69,0.07,0.01,2.00,2016102097.00,76226032.00,1343939.00,1683284820.00,331473339.00
Cryo-pump,12,200,12,High,800000,800000,872823.055,3.74,1.67,0.07,0.01,2.00,2662165363.00,100110293.00,1552790.00,2215510860.00,445101712.00
Cryo-pump,20,20,1,High,80000,80000,87327.72531,4.00,1.88,0.10,0.02,2.00,305250187.00,12605636.00,407625.00,254677136.00,50165426.00
Cryo-pump,20,50,2,High,200000,200000,218236.3379,3.89,1.81,0.08,0.01,2.00,721805052.00,28085073.00,829164.00,608656595.00,112319293.00
Cryo-pump,20,100,4,High,400000,400000,436431.9103,3.80,1.72,0.07,0.01,2.00,1374850583.00,52334532.00,983922.00,1149022898.00,224843763.00
Cryo-pump,20,150,6,High,600000,600000,654627.4826,3.76,1.69,0.07,0.01,2.00,2015888789.00,76110375.00,1130631.00,1683284820.00,331473339.00
Cryo-pump,20,200,8,High,800000,800000,872823.055,3.74,1.67,0.07,0.01,2.00,2661886037.00,99992657.00,1273464.00,2215510860.00,445101712.00